date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:00:07	152352/152352	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:09%20GMT	https://www.plus500.com/en/	C:/My%20Web%20Sites/plus500/www.plus500.com/en/index.html	(from )
20:00:07	275/275	------	200	untouched ('OK')	text/plain	etag:%22aa7526b1cb15d81:0%22	https://www.plus500.com/robots.txt		(from )
20:00:07	156/156	------	301	error ('')	text/html		https://www.plus500.com/en/GET	C:/My%20Web%20Sites/plus500/www.plus500.com/en/GET.3.delayed	(from https://www.plus500.com/en/)
20:00:07	6894/6894	------	200	untouched ('')	image/x-icon	etag:W/%22af5288e34b1ed71:0%22	https://www.plus500.com/en/favicon.ico	C:/My%20Web%20Sites/plus500/www.plus500.com/en/favicon.ico	(from https://www.plus500.com/en/)
20:00:07	388384/388384	------	200	untouched ('OK')	text/css	etag:%22258798543c16db1:0%22	https://cdn-main.plus500.com/1.0.0.120279/Resources/CSS/home.css	C:/My%20Web%20Sites/plus500/cdn-main.plus500.com/1.0.0.120279/Resources/CSS/home.css	(from https://www.plus500.com/en/)
20:00:07	35/35	------	200	untouched ('')	image/gif	date:Wed,%2016%20Oct%202024%2012:20:29%20GMT	https://dev.visualwebsiteoptimizer.com/ee.gif?a=	C:/My%20Web%20Sites/plus500/dev.visualwebsiteoptimizer.com/ee5ba7.gif	(from https://www.plus500.com/en/)
20:00:07	156/156	------	302	error ('')	text/html		https://www.plus500.com/en/get	C:/My%20Web%20Sites/plus500/www.plus500.com/en/get.4.delayed	(from https://www.plus500.com/en/)
20:00:07	156/156	------	400	error ('Bad%20Request')	text/html	date:Wed,%2016%20Oct%202024%2012:20:30%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/plus500/www.googletagmanager.com/gtm.55445.delayed	(from https://www.plus500.com/en/)
20:00:07	136126/136126	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:14%20GMT	https://www.plus500.com/en/trading/indices	C:/My%20Web%20Sites/plus500/www.plus500.com/en/trading/indices.html	(from https://www.plus500.com/en/)
20:00:07	140629/140629	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:15%20GMT	https://www.plus500.com/en/trading/forex	C:/My%20Web%20Sites/plus500/www.plus500.com/en/trading/forex.html	(from https://www.plus500.com/en/)
20:00:07	140000/140000	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:16%20GMT	https://www.plus500.com/en/trading/commodities	C:/My%20Web%20Sites/plus500/www.plus500.com/en/trading/commodities.html	(from https://www.plus500.com/en/)
20:00:07	139407/139407	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:17%20GMT	https://www.plus500.com/en/trading/stocks	C:/My%20Web%20Sites/plus500/www.plus500.com/en/trading/stocks.html	(from https://www.plus500.com/en/)
20:00:07	143607/143607	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:18%20GMT	https://www.plus500.com/en/trading/options	C:/My%20Web%20Sites/plus500/www.plus500.com/en/trading/options.html	(from https://www.plus500.com/en/)
20:00:07	134479/134479	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:19%20GMT	https://www.plus500.com/en/trading/etfs	C:/My%20Web%20Sites/plus500/www.plus500.com/en/trading/etfs.html	(from https://www.plus500.com/en/)
20:00:07	2169190/2169190	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:21%20GMT	https://www.plus500.com/en/instruments	C:/My%20Web%20Sites/plus500/www.plus500.com/en/instruments.html	(from https://www.plus500.com/en/)
20:00:08	90094/90094	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:22%20GMT	https://www.plus500.com/en/help/feescharges?productType=CFD	C:/My%20Web%20Sites/plus500/www.plus500.com/en/help/feeschargesbf2b.html	(from https://www.plus500.com/en/)
20:00:08	114991/114991	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:23%20GMT	https://www.plus500.com/en/premiumservice	C:/My%20Web%20Sites/plus500/www.plus500.com/en/premiumservice.html	(from https://www.plus500.com/en/)
20:00:08	80876/80876	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:24%20GMT	https://www.plus500.com/en/professionalaccount	C:/My%20Web%20Sites/plus500/www.plus500.com/en/professionalaccount.html	(from https://www.plus500.com/en/)
20:00:08	76825/76825	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:24%20GMT	https://www.plus500.com/en/trading/esg	C:/My%20Web%20Sites/plus500/www.plus500.com/en/trading/esg.html	(from https://www.plus500.com/en/)
20:00:08	107391/107391	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:25%20GMT	https://www.plus500.com/en/aboutus	C:/My%20Web%20Sites/plus500/www.plus500.com/en/aboutus.html	(from https://www.plus500.com/en/)
20:00:08	117918/117918	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:26%20GMT	https://www.plus500.com/en/promotions/bulls	C:/My%20Web%20Sites/plus500/www.plus500.com/en/promotions/bulls.html	(from https://www.plus500.com/en/)
20:00:08	118349/118349	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:26%20GMT	https://www.plus500.com/en/promotions/legiawarsaw	C:/My%20Web%20Sites/plus500/www.plus500.com/en/promotions/legiawarsaw.html	(from https://www.plus500.com/en/)
20:00:08	118135/118135	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:27%20GMT	https://www.plus500.com/en/promotions/youngboys	C:/My%20Web%20Sites/plus500/www.plus500.com/en/promotions/youngboys.html	(from https://www.plus500.com/en/)
20:00:08	299313/299313	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:34%20GMT	https://www.plus500.com/en/tradingacademy	C:/My%20Web%20Sites/plus500/www.plus500.com/en/tradingacademy.html	(from https://www.plus500.com/en/)
20:00:08	190864/190864	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:34%20GMT	https://www.plus500.com/en/newsandmarketinsights	C:/My%20Web%20Sites/plus500/www.plus500.com/en/newsandmarketinsights.html	(from https://www.plus500.com/en/)
20:00:08	448315/448315	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:35%20GMT	https://www.plus500.com/en/insights	C:/My%20Web%20Sites/plus500/www.plus500.com/en/insights.html	(from https://www.plus500.com/en/)
20:00:08	107140/107140	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:36%20GMT	https://www.plus500.com/en/economiccalendar	C:/My%20Web%20Sites/plus500/www.plus500.com/en/economiccalendar.html	(from https://www.plus500.com/en/)
20:00:08	89634/89634	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:38%20GMT	https://www.plus500.com/en/help/riskmanagement	C:/My%20Web%20Sites/plus500/www.plus500.com/en/help/riskmanagement.html	(from https://www.plus500.com/en/)
20:00:08	85871/85871	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:38%20GMT	https://www.plus500.com/en/help/alerts	C:/My%20Web%20Sites/plus500/www.plus500.com/en/help/alerts.html	(from https://www.plus500.com/en/)
20:00:08	156/156	------	405	error ('Method%20Not%20Allowed')	text/html	date:Tue,%2015%20Oct%202024%2022:14:47%20GMT	https://www.plus500.com/en/api/ReportData	C:/My%20Web%20Sites/plus500/www.plus500.com/en/api/ReportData.22.delayed	(from https://www.plus500.com/en/)
20:00:08	73957/73957	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:39%20GMT	https://www.plus500.com/en/help/contactus	C:/My%20Web%20Sites/plus500/www.plus500.com/en/help/contactus.html	(from https://www.plus500.com/en/)
20:00:08	72703/72703	------	200	untouched ('')	application/javascript	etag:%22825e157931e0d91:0%22	https://cdn-main.plus500.com/1.0.0.120279/Resources/Scripts/vue.min.js	C:/My%20Web%20Sites/plus500/cdn-main.plus500.com/1.0.0.120279/Resources/Scripts/vue.min.js	(from https://www.plus500.com/en/)
20:00:08	2707/2707	------	200	untouched ('')	application/javascript	etag:%2235439d9a3ff4da1:0%22	https://cdn-main.plus500.com/1.0.0.120279/Resources/Scripts/feedsApp.min.js	C:/My%20Web%20Sites/plus500/cdn-main.plus500.com/1.0.0.120279/Resources/Scripts/feedsApp.min.js	(from https://www.plus500.com/en/)
20:00:08	65512/65512	------	200	untouched ('')	image/png	etag:%228ea87956d41da1:0%22	https://cdn-main.plus500.com/1.0.0.120279/Resources/Images/newhome/img/insights/instrument-screen2-en.png	C:/My%20Web%20Sites/plus500/cdn-main.plus500.com/1.0.0.120279/Resources/Images/newhome/img/insights/instrument-screen2-en.png	(from https://www.plus500.com/en/)
20:00:08	92800/92800	------	200	untouched ('')	image/png	etag:%227b7d6e956d41da1:0%22	https://cdn-main.plus500.com/1.0.0.120279/Resources/Images/newhome/img/insights/instrument-screen1-en.png	C:/My%20Web%20Sites/plus500/cdn-main.plus500.com/1.0.0.120279/Resources/Images/newhome/img/insights/instrument-screen1-en.png	(from https://www.plus500.com/en/)
20:00:08	91175/91175	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:46%20GMT	https://www.plus500.com/en/tradingacademy/faq/regulators/throughwhichsubsdoyouoperate	C:/My%20Web%20Sites/plus500/www.plus500.com/en/tradingacademy/faq/regulators/throughwhichsubsdoyouoperate.html	(from https://www.plus500.com/en/)
20:00:08	54769/54769	------	200	untouched ('')	image/png	etag:%2238117831e0d91:0%22	https://cdn-main.plus500.com/1.0.0.120279/Resources/Images/newhome/img/ipad-trans.png	C:/My%20Web%20Sites/plus500/cdn-main.plus500.com/1.0.0.120279/Resources/Images/newhome/img/ipad-trans.png	(from https://www.plus500.com/en/)
20:00:08	96292/96292	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:51%20GMT	https://www.plus500.com/en/tradingacademy/faq	C:/My%20Web%20Sites/plus500/www.plus500.com/en/tradingacademy/faq.html	(from https://www.plus500.com/en/)
20:00:09	75466/75466	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:52%20GMT	https://www.plus500.com/en/customervulnerability	C:/My%20Web%20Sites/plus500/www.plus500.com/en/customervulnerability.html	(from https://www.plus500.com/en/)
20:00:09	76747/76747	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:52%20GMT	https://www.plus500.com/en/help/clientmoneyprotection	C:/My%20Web%20Sites/plus500/www.plus500.com/en/help/clientmoneyprotection.html	(from https://www.plus500.com/en/)
20:00:09	78935/78935	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:53%20GMT	https://www.plus500.com/en/help/termsandagreements	C:/My%20Web%20Sites/plus500/www.plus500.com/en/help/termsandagreements.html	(from https://www.plus500.com/en/)
20:00:09	67778/67778	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:53%20GMT	https://www.plus500.com/en/modernslaverystatement	C:/My%20Web%20Sites/plus500/www.plus500.com/en/modernslaverystatement.html	(from https://www.plus500.com/en/)
20:00:09	88417/88417	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:54%20GMT	https://www.plus500.com/en/help/cookiepolicy?productType=CFD	C:/My%20Web%20Sites/plus500/www.plus500.com/en/help/cookiepolicybf2b.html	(from https://www.plus500.com/en/)
20:00:09	79414/79414	------	200	untouched ('OK')	text/html	date:Tue,%2015%20Oct%202024%2022:14:54%20GMT	https://www.plus500.com/en/pro	C:/My%20Web%20Sites/plus500/www.plus500.com/en/pro.html	(from https://www.plus500.com/en/)
20:00:09	181720/181720	------	200	untouched ('')	application/javascript	etag:%22802b7d275bada1:0%22	https://cdn-main.plus500.com/1.0.0.120279/Resources/Scripts/layout.bundle.min.js	C:/My%20Web%20Sites/plus500/cdn-main.plus500.com/1.0.0.120279/Resources/Scripts/layout.bundle.min.js	(from https://www.plus500.com/en/)
